id,image_url,image_format,link,title,date_from,date_to,description
c027640043,http://acms.sl.nsw.gov.au/_zoomify/2015/D32906/c027640043.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261181&suppress=N&imgindex=43,Balmoral,1880,1930,Sydney Subdivision Plan
c027720001,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720001.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=1,Rockdale,1880,1930,Sydney Subdivision Plan
c027720002,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720002.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=2,Botany View,1880,1930,Sydney Subdivision Plan
c027720008,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720008.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=8,Arncliffe  ,1880,1930,Sydney Subdivision Plan
c027720013,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720013.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=13,Beverly Park,1880,1930,Sydney Subdivision Plan
c027720015,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720015.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=15,Arncliffe,1880,1930,Sydney Subdivision Plan
c027720017,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720017.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=17,Rockdale,1880,1930,Sydney Subdivision Plan
c027720018,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720018.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=18,Banksia,1880,1930,Sydney Subdivision Plan
c027720020,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720020.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=20,Banksia,1880,1930,Sydney Subdivision Plan
c027720023,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720023.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=23,Banksia,1880,1930,Sydney Subdivision Plan
c027720031,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720031.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=31,Beverly Park,1880,1930,Sydney Subdivision Plan
c027720041,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720041.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=41,Rockdale,1880,1930,Sydney Subdivision Plan
c027720043,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720043.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=43,Rockdale,1880,1930,Sydney Subdivision Plan
c027720050,http://acms.sl.nsw.gov.au/_zoomify/2015/D32908/c027720050.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261185&suppress=N&imgindex=50,Rockdale,1880,1930,Sydney Subdivision Plan
c028140002,http://acms.sl.nsw.gov.au/_zoomify/2015/D32996/c028140002.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261251&suppress=N&imgindex=2,Greenacre,1880,1930,Sydney Subdivision Plan
c028140003,http://acms.sl.nsw.gov.au/_zoomify/2015/D32996/c028140003.html,Zoomify,http://archival-classic.sl.nsw.gov.au/album/ItemViewer.aspx?itemid=1261251&suppress=N&imgindex=3,Bankstown,1880,1930,Sydney Subdivision Plan
